Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Ticker,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2018,Sep 2018,Dec 2018,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2005,Dec 2006,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
EPS in Rs,3.75,3.42,3.77,4.11,1.93,2.51,3.42,3.64,3.78,1.43,1.27,2.65,1.19,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2098,,,,,,,,,,,,,ABB.NS,2203,1850,1726,1746,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1898,,,,,,,,,,,,,ABB.NS,2094,1705,1602,1622,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,200,,,,,,,,,,,,,ABB.NS,108,146,124,123,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,10%,,,,,,,,,,,,,ABB.NS,5%,8%,7%,7%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,25,,,,,,,,,,,,,ABB.NS,1,46,81,73,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,3,,,,,,,,,,,,,ABB.NS,13,3,10,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,26,,,,,,,,,,,,,ABB.NS,12,23,22,23,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,196,,,,,,,,,,,,,ABB.NS,84,166,173,169,201,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,,,,,,,,,,,,,ABB.NS,28%,30%,25%,20%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,146,,,,,,,,,,,,,ABB.NS,64,116,130,135,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,6.87,,,,,,,,,,,,,ABB.NS,3.03,5.48,6.15,6.38,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ABB.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ABBOTINDIA.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,4468,3987,4537,4791,5201,4435,4914,5409,5199,4614,5927,6115,6087,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,4042,3971,4158,4322,4430,3885,4010,4572,4520,4178,4812,5284,5309,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,426,16,379,469,771,549,905,837,679,436,1116,830,778,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,10%,0%,8%,10%,15%,12%,18%,15%,13%,9%,19%,14%,13%,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,58,56,-35,55,80,212,94,350,73,124,649,330,70,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,15,18,19,15,25,29,34,67,33,33,28,14,30,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,165,173,173,177,200,213,235,237,235,242,260,265,255,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,305,-118,152,331,626,519,729,883,484,284,1476,882,563,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,-26%,26%,29%,25%,25%,26%,-7%,26%,30%,26%,15%,33%,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,227,-87,113,236,466,388,538,943,360,200,1092,751,375,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,12.11,-4.65,6.03,12.55,24.82,20.65,28.63,50.23,19.15,10.63,58.14,39.99,19.99,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ACC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,3132,3251,3552,3358,3664,3674,4563,4707,5379,6184,5830,6375,6819,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2459,2088,2074,2154,2395,2324,3092,3141,3728,4469,4170,4335,5009,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,673,1164,1478,1203,1269,1350,1471,1566,1651,1715,1661,2040,1811,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,22%,36%,42%,36%,35%,37%,32%,33%,31%,28%,28%,32%,27%,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,653,198,230,502,108,93,262,204,-1395,176,170,222,206,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,740,714,697,630,616,641,760,750,811,813,809,826,894,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,384,398,410,416,419,432,458,468,498,484,462,462,465,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,202,250,600,660,343,370,515,552,-1053,594,559,974,658,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,17%,22%,20%,33%,47%,23%,32%,31%,13%,-30%,-12%,27%,18%,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,168,194,478,440,182,284,348,381,-1191,773,625,714,539,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.67,1.85,4.26,3.49,1.57,2.47,2.91,3.24,-7.39,5.62,4.68,5.39,4.27,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ADANIENSOL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1635,1584,1971,2598,2162,2220,2311,2527,2794,3055,2340,3073,3800,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,687,718,1118,334,81,521,645,693,415,850,460,680,758,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,948,866,853,2264,2081,1699,1666,1834,2379,2205,1880,2393,3042,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,58%,55%,43%,87%,96%,77%,72%,73%,85%,72%,80%,78%,80%,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,66,100,216,265,178,353,264,234,271,224,280,48,189,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,458,498,617,1338,1393,1165,1242,1224,1426,1369,1251,1368,1525,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,280,298,330,392,451,474,481,497,596,618,618,663,767,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,276,170,122,799,415,413,207,347,628,442,291,410,939,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,21%,14%,52%,38%,34%,29%,33%,24%,28%,6%,-37%,29%,25%,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,214,149,103,507,323,371,256,310,629,515,474,383,824,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.35,0.94,0.65,3.21,2.03,2.35,1.62,0.95,2.82,1.74,3.11,1.45,4.39,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ADANIGREEN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,5058,5211,4786,5797,6248,6646,6920,6896,7560,7067,7964,8488,9126,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2969,2320,2090,2526,2558,2982,2724,2887,2820,2832,3161,3482,3631,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,2089,2891,2696,3271,3689,3664,4196,4009,4739,4235,4802,5006,5495,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,41%,55%,56%,56%,59%,55%,61%,58%,63%,60%,60%,59%,60%,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,486,441,285,-885,384,351,507,-70,349,254,247,426,453,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,629,577,534,623,633,520,976,619,484,527,923,715,846,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,840,854,884,846,950,974,985,979,1012,1077,1106,1185,1255,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,1105,1900,1564,917,2491,2521,2741,2341,3593,2885,3020,3532,3848,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,-7%,9%,15%,-24%,15%,30%,19%,14%,14%,16%,17%,14%,14%,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,1177,1738,1337,1139,2119,1762,2208,2015,3107,2413,2518,3023,3311,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,5.48,7.94,6.09,5.36,9.79,8.09,10.22,9.44,14.41,11.32,11.67,13.95,15.34,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,13723,7044,7764,10242,11006,12991,12991,13364,14956,13339,13671,14237,14109,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,8003,6096,6295,8335,7491,7819,8346,8514,8761,8063,8648,9425,8424,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,5720,948,1470,1907,3514,5171,4645,4850,6194,5276,5023,4813,5685,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,42%,13%,19%,19%,32%,40%,36%,36%,41%,40%,37%,34%,40%,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,1786,1402,526,553,7103,1945,364,518,518,724,1162,298,465,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,823,818,946,746,883,888,797,820,811,807,957,765,857,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,816,833,838,817,935,1004,1002,990,996,1059,1170,1085,1089,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,5866,699,212,898,8800,5224,3210,3558,4906,4134,4059,3261,4204,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,19%,0%,96%,-484%,0%,-26%,15%,23%,20%,20%,28%,20%,21%,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,4780,696,9,5242,8759,6594,2738,2737,3913,3298,2940,2599,3305,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,12.39,1.80,0.02,13.59,22.71,17.10,7.10,7.10,10.14,8.64,7.93,6.84,8.78,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ADANIPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,347,355,376,356,407,431,499,506,520,543,602,602,621,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,280,284,296,287,328,344,402,408,415,430,470,468,481,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,68,71,80,69,78,87,97,98,104,113,131,134,140,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,20%,20%,21%,19%,19%,20%,19%,19%,20%,21%,22%,22%,23%,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,7,13,16,18,10,10,10,27,25,29,21,19,17,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,2,3,3,3,3,6,5,5,4,4,3,2,2,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,9,13,14,14,14,18,18,20,19,25,26,27,26,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,64,68,80,70,70,73,83,100,107,113,124,124,129,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,14%,13%,14%,11%,6%,9%,8%,13%,19%,19%,19%,17%,18%,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,55,59,69,62,66,67,77,87,87,92,100,103,106,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,4.09,4.40,5.18,4.68,4.97,5.01,5.48,6.24,6.18,6.56,7.13,7.34,7.50,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,AFFLE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1080,1329,1227,1274,1240,1295,1169,1150,1020,1044,1066,1157,1039,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,833,1017,861,958,897,913,858,853,731,769,783,855,733,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,247,312,366,316,343,382,311,297,289,276,283,302,306,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,23%,23%,30%,25%,28%,30%,27%,26%,28%,26%,27%,26%,29%,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,21,32,118,64,60,62,84,77,83,91,72,98,114,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,1,4,5,10,8,7,7,6,6,5,1,8,7,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,21,25,24,23,24,25,27,25,25,24,26,28,28,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,246,316,454,346,371,412,361,344,341,337,327,363,386,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,22%,22%,22%,23%,26%,21%,22%,24%,24%,24%,21%,21%,21%,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,191,245,352,268,273,324,280,260,259,256,259,285,305,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,20.19,25.96,37.37,28.43,28.87,34.25,29.64,27.62,27.52,27.22,27.48,30.24,32.34,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,AIAENG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,951,938,972,882,1021,1028,1105,1054,1145,1187,1146,1170,1303,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,729,742,802,732,750,738,791,776,815,875,825,873,951,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,222,196,170,149,271,291,314,278,330,311,321,297,351,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,23%,21%,17%,17%,27%,28%,28%,26%,29%,26%,28%,25%,27%,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,33,40,35,37,32,21,14,36,26,19,30,18,26,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,1,1,3,1,1,2,2,2,1,6,8,6,5,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,32,33,33,33,33,34,34,34,34,34,36,40,41,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,222,203,168,152,269,276,291,278,322,290,307,269,331,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,21%,23%,20%,20%,23%,29%,28%,27%,24%,25%,24%,16%,23%,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,175,157,135,122,208,195,210,203,246,216,233,225,255,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,13.63,12.22,10.50,9.54,16.24,15.24,16.39,15.82,19.68,17.33,18.64,18.03,20.44,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,AJANTPHARM.BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,938,926,987,951,999,956,1033,973,1036,982,1050,1022,995,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,817,820,844,797,837,814,866,812,867,833,884,863,861,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,121,106,143,155,162,142,166,162,169,149,167,159,134,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,13%,11%,14%,16%,16%,15%,16%,17%,16%,15%,16%,16%,14%,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,4,5,12,6,8,9,8,10,10,9,6,3,9,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,2,3,3,6,3,3,3,3,2,2,3,2,3,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,19,20,21,22,19,21,20,22,22,25,23,22,18,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,104,88,132,133,148,127,152,147,154,132,146,138,122,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,26%,26%,28%,26%,26%,25%,26%,26%,26%,26%,21%,26%,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,77,65,97,95,110,94,114,109,115,98,109,108,91,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,16.89,14.36,21.39,20.95,24.13,20.68,24.99,23.87,25.16,21.50,23.85,23.80,19.98,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,AKZOINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2576,3079,3041,2903,2968,3440,3324,2936,3032,3415,3374,3144,3371,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2373,2625,2442,2549,2579,2693,2616,2534,2423,2662,2615,2752,2632,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,203,454,599,353,389,747,708,402,609,753,759,391,739,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,8%,15%,20%,12%,13%,22%,21%,14%,20%,22%,23%,12%,22%,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,51,51,45,-34,66,6,42,76,120,134,93,146,149,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,26,25,27,29,30,30,25,27,29,28,36,28,30,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,76,77,78,78,72,74,70,83,80,79,85,112,88,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,152,402,539,212,353,648,655,367,619,780,731,396,771,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,13%,14%,15%,68%,18%,5%,8%,17%,11%,10%,12%,18%,13%,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,131,348,460,68,288,615,604,304,550,702,641,322,668,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,10.68,27.67,38.03,5.94,23.98,51.90,49.76,24.55,45.60,57.60,52.34,25.58,55.56,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ALKEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,,,,,,,,,,,,,,ALKYLAMINE.NS,,237,266,235,,178,218,213,257,235,,,,,,,,,,,,,,,,,,,,,,
Expenses +,,,,,,,,,,,,,,ALKYLAMINE.NS,,199,207,177,,141,169,174,184,167,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,,,,,,,,,,,,,,ALKYLAMINE.NS,,38,59,58,,37,49,39,73,68,,,,,,,,,,,,,,,,,,,,,,
OPM %,,,,,,,,,,,,,,ALKYLAMINE.NS,,16%,22%,25%,,21%,23%,18%,28%,29%,,,,,,,,,,,,,,,,,,,,,,
Other Income +,,,,,,,,,,,,,,ALKYLAMINE.NS,,3,3,2,,2,1,3,18,3,,,,,,,,,,,,,,,,,,,,,,
Interest,,,,,,,,,,,,,,ALKYLAMINE.NS,,3,4,3,,4,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,ALKYLAMINE.NS,,6,6,7,,6,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,,,,,,,,,,,,,,ALKYLAMINE.NS,,32,52,51,,29,41,32,82,61,,,,,,,,,,,,,,,,,,,,,,
Tax %,,,,,,,,,,,,,,ALKYLAMINE.NS,,40%,30%,-9%,,34%,35%,31%,26%,19%,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,,,,,,,,,,,,,,ALKYLAMINE.NS,,19,37,55,,19,27,22,60,49,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,,,,,,,,,,,,,,ALKYLAMINE.NS,,3.71,7.19,10.77,,3.78,5.23,4.36,11.85,9.65,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ALKYLAMINE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1826,750,1348,3003,1702,927,1295,2805,2401,1685,2133,3754,3449,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1726,714,1270,2799,1570,868,1216,2586,2211,1574,1984,3472,3199,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,99,37,79,204,132,60,78,220,191,111,150,282,250,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,5%,5%,6%,7%,8%,6%,6%,8%,8%,7%,7%,8%,7%,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
